No,Kategori,Jenis Pengujian/Layanan,Satuan,Harga Mahasiswa,Harga Civitas (Dosen/Tendik),Harga Eksternal
1,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Abrasi,per sampel,0,0,200000
2,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Berat Isi/Satuan,per sampel,0,0,125000
3,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Berat Jenis Agregat Halus/Kasar,per sampel,0,0,100000
4,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Gradasi Agregat Halus/Kasar,per sampel,0,0,200000
5,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Kadar Lumpur Agregat Halus/Kasar,per sampel,0,0,200000
6,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Kadar Organik Agregat Halus,per sampel,0,0,150000
7,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Kelapukan,per sampel,0,0,200000
8,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Kepipihan,per sampel,0,0,100000
9,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Lolos Saringan 200 Agregat,per sampel,0,0,100000
10,A,Pemeriksaan Material/Bahan Beton - Pemeriksaan Permeabilitas,per sampel,0,0,100000
11,A,Penggujian AAS Flame (Li) (Tanpa preparasi),per sampel,29000,45000,55000
12,A,Pengujian AAS Flame (Ag) (Tanpa preparasi),per sampel,29000,45000,55000
13,A,Pengujian AAS Flame (Al) (Tanpa preparasi),per sampel,29000,45000,55000
14,A,Pengujian AAS Flame (Cd) (Tanpa preparasi),per sampel,29000,45000,55000
15,A,Pengujian AAS Flame (Co) (Tanpa preparasi),per sampel,29000,45000,55000
16,A,Pengujian AAS Flame (Cu) (Tanpa preparasi),per sampel,29000,45000,55000
17,A,Pengujian AAS Flame (Fe) (Tanpa preparasi),per sampel,29000,45000,55000
18,A,Pengujian AAS Flame (Hg) (Tanpa preparasi),per sampel,29000,60000,70000
19,A,Pengujian AAS Flame (K) (Tanpa preparasi),per sampel,29000,45000,55000
20,A,Pengujian AAS Flame (Mn) (Tanpa preparasi),per sampel,29000,45000,55000
21,A,Pengujian AAS Flame (Ni) (Tanpa preparasi),per sampel,29000,45000,55000
22,A,Pengujian AAS Flame (Ni) (Tanpa preparasi),per sampel,29000,45000,55000
23,A,Pengujian AAS Flame (Pb) (Tanpa preparasi),per sampel,29000,45000,55000
24,A,Pengujian AAS Flame (Zn) (Tanpa preparasi),per sampel,29000,45000,55000
25,A,Pengujian Abrasi Agregat Kasar,per sampel,0,0,150000
26,A,Pengujian Analisis Butiran Kecil - Hidrometer,per sampel,0,0,300000
27,A,Pengujian Analisis Gradasi,per sampel,0,0,200000
28,A,Pengujian Analisis Kadar Abu,per sampel,50000,75000,80000
29,A,Pengujian Analisis Kadar Air,per sampel,43000,50000,72000
30,A,Pengujian Aspal - Aspal Penetrasi,per sampel,0,0,150000
31,A,Pengujian Aspal - Berat Jenis Aspal,per sampel,0,0,150000
32,A,Pengujian Bending Logam,per sampel,50000,90000,200000
33,A,Pengujian Bending Non Logam,per sampel,40000,80000,150000
34,A,Pengujian Berat Isi Agregat Halus/Kasar,per sampel,0,0,125000
35,A,Pengujian Berat Jenis Agregat Halus/Kasar,per sampel,0,0,150000
36,A,Pengujian BET/SAA (Full Isoterm & Surface area),per sampel,340000,400000,800000
37,A,Pengujian BET/SAA (Uji Surface Area),per sampel,170000,200000,350000
38,A,Pengujian BOD,per sampel,80000,120000,180000
39,A,Pengujian COD,per sampel,45000,60000,100000
40,A,Pengujian Cylic Voltametry dengan Pontesiostat,per sampel,150000,250000,500000
41,A,Pengujian Dimensi Tulangan Beton,per sampel,60000,80000,140000
42,A,Pengujian Direct Shear - Geser Langsung,per sampel,0,0,250000
43,A,Pengujian DO,per sampel,26000,30000,60000
44,A,Pengujian DSC/TGA <1200OC,per sampel,500000,600000,700000
45,A,Pengujian DSC/TGA <300OC,per sampel,190000,280000,300000
46,A,Pengujian DSC/TGA <600OC,per sampel,200000,300000,400000
47,A,Pengujian Duktilitas Aspal,per sampel,0,0,150000
48,A,Pengujian ED-XRF (Energy Dispersive X-Ray Fluorescence Spectrometers),per sampel,208000,350000,500000
49,A,Pengujian EDX,per spektrum,213000,250000,350000
50,A,Pengujian Emission Gas Analyzer,per titik,35000,75000,150000
51,A,Pengujian FTIR (ATR-ZnSe - Tanpa Interpretasi data),per sampel,51000,75000,100000
52,A,Pengujian FTIR +Identifikasi Library (ATR-ZnSe - Tanpa Interpretasi data),per sampel,102000,120000,120000
53,A,Pengujian Gas Chromatography (GC) tanpa Deret Standar,per sampel,128000,150000,235000
54,A,Pengujian Geoteknik Laboratorium - Bulk Density - Berat Volume,per sampel,0,0,200000
55,A,Pengujian Geoteknik Laboratorium - CBR Soaked (Terendam),per sampel,0,0,300000
56,A,Pengujian Geoteknik Laboratorium - CBR Unsoaked (Tak Terendam),per sampel,0,0,250000
57,A,Pengujian Geoteknik Laboratorium - Plastic Limit - Batas Plastis,per sampel,0,0,100000
58,A,Pengujian Geoteknik Laboratorium Konsolidasi - Penurunan,per sampel,0,0,250000
59,A,Pengujian Geoteknik Laboratorium Pemadatan Modifikasi,per sampel,0,0,300000
60,A,Pengujian Geoteknik Laboratorium Pemadatan Standar,per sampel,0,0,300000
61,A,Pengujian Geoteknik Lapangan - CBR Lapangan / Field CBR Test Set,per titik,0,0,500000
62,A,Pengujian Geoteknik Lapangan - Dynamic Cone Penetration - Analisis Nilai CBR,per hari,0,0,400000
63,A,Pengujian Gumpalan Lempung & Butiran Mudah Pecah,per sampel,50000,75000,150000
64,A,Pengujian Hammer Test,per hari,0,0,200000
65,A,Pengujian HPLC (include standar),per sampel,97000,250000,300000
66,A,Pengujian HPLC (tanpa standar dan dengan fase gerak),per sampel,64000,75000,150000
67,A,Pengujian HPLC (tanpa standar dan tanpa fase gerak),per jam,64000,75000,150000
68,A,Pengujian Impak,per sampel,85000,100000,200000
69,A,Pengujian Impak plastik dan komposit (Charpy - izod),per sampel,40000,60000,120000
70,A,Pengujian Indeks Kelonjongan Agregat,per sampel,0,0,200000
71,A,Pengujian Kadar Air Agregat Halus/Kasar,per sampel,0,0,100000
72,A,Pengujian Kadar Besi (Fe) Pada Air dengan Spektro UV-Vis,per sampel,30000,50000,70000
73,A,Pengujian Kadar Etanol dengan Gas Chromatography (GC),per sampel,128000,150000,235000
74,A,Pengujian Kadar MBAS/surfaktan (mg/L) pada Air dengan Spektro UV-Vis,per sampel,40000,70000,85000
75,A,Pengujian Kadar Organik Agregat Halus,per sampel,0,0,150000
76,A,Pengujian Kadar Phospat (PO4-P) (mg/L) pada Air dengan Spektro UV-Vis,per sampel,26000,40000,45000
77,A,Pengujian Karoten,per sampel,85000,100000,140000
78,A,Pengujian Kehilangan Berat,per sampel,0,0,150000
79,A,Pengujian Kekerasan Brinell,per tiga titik,85000,100000,200000
80,A,Pengujian Kekerasan Rockwell,per tiga titik,85000,100000,200000
81,A,Pengujian Kekerasan Vickers,per tiga titik,100000,150000,220000
82,A,Pengujian Kelekatan Agregat Terhadap Aspal,per sampel,0,0,150000
83,A,Pengujian Kuat Tarik Baja Tulangan (Diameter 10-16),per sampel,40000,80000,200000
84,A,Pengujian Kuat Tekan Beton - Paving - Mortar - Bata Ringan,per sampel,45000,85000,160000
85,A,Pengujian Lentur Balok,per sampel,40000,100000,300000
